一级组织,二级组织,三级组织,总人数,有效填写人数,有效填写率,敬业度,满意度,我非常喜欢自己的日常工作,我认同公司倡导的文化氛围,公司的高层管理人员能为公司制定明确的业务发展方向，并推动执行,在公司，我的职业发展前景不错,我所在部门的管理团队能制定部门工作目标并推动落地,我能通过接收反馈了解自己的优势和需要提升的方向,公司能及时和有效地处理绩效不理想的员工,我所在部门与其它部门能够有效地协调与合作,公司有相关的学习与发展机会（如辅导反馈、在岗学习、参加培训等），帮助我掌握所需要的技能,我能从自己的工作中获得成就感,我能在工作与生活之间保持适度的平衡,我认为公司内部鼓励坦诚沟通,公司的工作流程（如制定工作目标、业务流程、操作指引等）帮助我有效地工作,我的直接上级与我设定清晰的期望和目标,我很自豪能成为公司的一员,相对我为公司所作出的贡献而言，我的薪酬回报是合理的,在工作中，我的付出和成绩能获得除薪酬外的认可（如口头表扬、表彰、新的锻炼机会等）,公司现有的各项资源（如: 技术、工具、系统等）有助于我提高工作效率,总体来说，公司的福利计划能很好满足我的需要,我的直接上级持续给予我有价值的反馈，帮助我提高工作表现,我所在的团队，架构清晰、权责明确,我的绩效结果和贡献越大，我就可以预期获得越多的奖励（如奖金、晋升、加薪）,高效-敬业且满意,受挫-敬业不满意,漠然-不敬业满意,低效-不敬业不满意
财务部,,,20,10,50%,40%,40%,40%,60%,50%,20%,50%,50%,40%,40%,20%,30%,50%,50%,40%,40%,60%,30%,20%,50%,80%,50%,40%,30%,40%,0%,0%,60%
视频事业部,,,239,172,72%,60%,61%,73%,78%,59%,42%,74%,58%,49%,70%,31%,65%,56%,63%,53%,67%,62%,44%,52%,54%,78%,67%,65%,52%,55%,6%,6%,33%
视频事业部,视频一部,,78,60,77%,55%,60%,68%,78%,48%,32%,65%,55%,37%,67%,22%,62%,50%,67%,53%,65%,57%,37%,45%,55%,75%,70%,58%,53%,50%,5%,10%,35%
视频事业部,视频二部,,3,2,67%,50%,50%,100%,100%,100%,50%,50%,50%,100%,100%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,100%,50%,100%,50%,50%,0%,0%,50%
视频事业部,其他,,8,2,25%,50%,50%,50%,50%,0%,0%,50%,100%,0%,50%,0%,100%,50%,0%,0%,50%,50%,50%,50%,0%,50%,50%,50%,0%,50%,0%,0%,50%
视频事业部,视频三部,,82,53,65%,72%,66%,81%,83%,74%,53%,77%,68%,62%,70%,40%,72%,66%,64%,57%,68%,70%,55%,68%,55%,85%,68%,72%,58%,62%,9%,4%,25%
视频事业部,视频四部,,68,55,81%,56%,58%,71%,73%,56%,44%,82%,49%,49%,73%,33%,60%,53%,62%,53%,71%,62%,42%,45%,55%,75%,64%,64%,47%,53%,4%,5%,38%
法务部,,,8,7,88%,71%,86%,86%,86%,71%,57%,100%,71%,43%,100%,86%,86%,71%,71%,71%,100%,57%,29%,57%,57%,71%,100%,86%,43%,71%,0%,14%,14%
海外营销部,,,3,3,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,67%,100%,67%,100%,67%,100%,100%,67%,100%,67%,100%,100%,100%,100%,100%,0%,0%,0%
图片事业部,,,73,59,81%,68%,66%,73%,78%,59%,54%,68%,63%,46%,75%,32%,71%,47%,68%,54%,69%,66%,54%,51%,41%,86%,71%,59%,53%,64%,3%,2%,31%
技术部,,,89,62,70%,69%,66%,73%,81%,66%,53%,71%,68%,48%,68%,50%,66%,53%,74%,55%,77%,63%,50%,50%,68%,76%,65%,65%,53%,61%,8%,5%,26%
美术部,,,61,46,75%,59%,59%,63%,65%,61%,46%,65%,63%,41%,65%,37%,52%,35%,43%,41%,61%,61%,43%,52%,52%,67%,61%,50%,46%,52%,7%,7%,35%
平台部,,,33,20,61%,60%,65%,50%,70%,50%,30%,70%,65%,55%,75%,50%,70%,70%,70%,60%,75%,45%,45%,45%,75%,85%,70%,70%,55%,55%,5%,10%,30%
大模型部门,,,16,12,75%,100%,100%,83%,100%,83%,42%,100%,92%,75%,83%,58%,58%,67%,100%,100%,92%,100%,67%,100%,92%,83%,92%,92%,92%,100%,0%,0%,0%
人力资源部,,,21,18,86%,61%,78%,61%,72%,56%,33%,83%,56%,28%,78%,39%,44%,50%,83%,50%,72%,72%,44%,39%,61%,83%,83%,78%,56%,56%,6%,22%,17%
人力资源部,其他,,12,8,67%,38%,63%,50%,63%,50%,25%,75%,50%,13%,63%,25%,25%,25%,75%,50%,75%,75%,50%,38%,50%,88%,88%,75%,75%,25%,13%,38%,25%
人力资源部,人才引进,,5,5,100%,80%,80%,60%,80%,60%,40%,80%,40%,20%,80%,20%,60%,60%,80%,60%,60%,60%,40%,40%,80%,60%,60%,60%,40%,80%,0%,0%,20%
人力资源部,HRBP,,4,5,125%,80%,100%,80%,80%,60%,40%,100%,80%,60%,100%,80%,60%,80%,100%,40%,80%,80%,40%,40%,60%,100%,100%,100%,40%,80%,0%,20%,0%
市场部,,,44,30,68%,63%,60%,60%,73%,63%,40%,63%,73%,43%,63%,37%,67%,47%,67%,47%,60%,67%,50%,63%,53%,83%,70%,53%,63%,57%,7%,3%,33%
市场部,国内投放,,9,6,67%,83%,83%,83%,83%,83%,83%,83%,83%,67%,83%,83%,83%,67%,83%,83%,83%,83%,83%,83%,100%,100%,83%,83%,100%,83%,0%,0%,17%
市场部,媒介公关,,5,4,80%,50%,25%,50%,50%,25%,25%,25%,50%,25%,75%,25%,50%,25%,50%,25%,25%,25%,50%,25%,0%,50%,50%,25%,25%,25%,25%,0%,50%
市场部,其他,,6,1,17%,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,0%,100%,100%,100%,100%,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,0%,0%,0%
市场部,市场营销,,8,6,75%,83%,100%,67%,100%,100%,33%,100%,83%,50%,83%,67%,83%,67%,83%,50%,100%,67%,33%,67%,83%,83%,100%,83%,83%,83%,0%,17%,0%
市场部,视觉创意,,16,13,81%,46%,38%,46%,62%,46%,23%,46%,69%,38%,38%,8%,54%,31%,54%,31%,38%,69%,46%,62%,31%,85%,54%,31%,46%,38%,8%,0%,54%
项目管理部,,,2,1,50%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,100%,0%,0%,100%,100%,100%,0%,100%,100%,100%,0%,100%,100%,0%,0%,0%
音频部,,,15,11,73%,45%,64%,82%,82%,55%,36%,64%,64%,55%,73%,18%,55%,36%,64%,36%,64%,45%,27%,55%,64%,82%,64%,64%,45%,45%,0%,18%,36%
音频部,其他,,5,3,60%,33%,67%,67%,67%,67%,33%,67%,67%,33%,67%,0%,33%,67%,67%,0%,100%,33%,33%,33%,33%,67%,67%,67%,33%,33%,0%,33%,33%
音频部,音频设计组,,10,8,80%,50%,63%,88%,88%,50%,38%,63%,63%,63%,75%,25%,63%,25%,63%,50%,50%,50%,25%,63%,75%,88%,63%,63%,50%,50%,0%,13%,38%
语音事业部,,,53,35,66%,66%,57%,69%,74%,69%,46%,63%,63%,54%,71%,37%,60%,60%,66%,63%,71%,63%,46%,51%,63%,86%,74%,60%,40%,54%,11%,3%,31%
语音事业部,策划,,13,7,54%,71%,43%,57%,57%,29%,29%,57%,71%,43%,57%,57%,57%,71%,57%,43%,86%,43%,43%,43%,57%,71%,86%,43%,29%,43%,29%,0%,29%
语音事业部,程序,服务端,6,4,67%,50%,50%,50%,75%,100%,25%,50%,25%,50%,50%,0%,25%,50%,50%,25%,75%,75%,50%,50%,100%,100%,75%,50%,50%,50%,0%,0%,50%
语音事业部,程序,客户端,14,10,71%,70%,60%,70%,80%,80%,50%,70%,60%,60%,80%,20%,90%,70%,80%,70%,60%,70%,40%,50%,50%,90%,60%,60%,40%,60%,10%,0%,30%
语音事业部,程序,其他,4,2,50%,50%,50%,100%,100%,100%,50%,100%,100%,50%,50%,50%,100%,100%,100%,50%,50%,100%,50%,100%,50%,100%,100%,50%,50%,50%,0%,0%,50%
语音事业部,美术,3D实现,5,4,80%,75%,75%,100%,75%,75%,75%,75%,75%,75%,75%,50%,50%,50%,75%,100%,100%,75%,50%,50%,75%,75%,100%,100%,50%,75%,0%,0%,25%
语音事业部,美术,概念设计,7,4,57%,50%,75%,75%,75%,75%,50%,25%,75%,50%,75%,25%,25%,25%,25%,75%,75%,50%,50%,50%,50%,75%,75%,50%,50%,50%,0%,25%,25%
语音事业部,美术,其他,1,1,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,100%
语音事业部,其他,,3,3,100%,100%,67%,67%,100%,67%,67%,100%,67%,67%,100%,100%,67%,67%,100%,100%,67%,67%,67%,67%,100%,100%,67%,100%,33%,67%,33%,0%,0%
行政部,,,11,5,45%,100%,100%,100%,100%,100%,100%,100%,100%,60%,80%,80%,100%,80%,80%,80%,100%,100%,80%,100%,80%,80%,100%,100%,80%,100%,0%,0%,0%
行政部,后勤保障中心,,5,2,40%,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,50%,100%,100%,100%,50%,100%,100%,50%,100%,50%,100%,100%,100%,100%,100%,0%,0%,0%
行政部,其他,,6,3,50%,100%,100%,100%,100%,100%,100%,100%,100%,100%,67%,100%,100%,67%,67%,100%,100%,100%,100%,100%,100%,67%,100%,100%,67%,100%,0%,0%,0%
运营部,,,71,47,66%,74%,72%,77%,83%,70%,47%,77%,62%,51%,72%,36%,77%,66%,72%,64%,77%,74%,51%,55%,60%,79%,74%,74%,55%,68%,6%,4%,21%
政府关系部,,,27,19,70%,89%,89%,74%,84%,89%,74%,89%,79%,58%,95%,58%,84%,79%,79%,84%,95%,89%,63%,79%,84%,95%,89%,89%,84%,89%,0%,0%,11%
新业务事业部,,,123,60,49%,77%,72%,72%,82%,73%,67%,75%,75%,60%,67%,45%,68%,57%,67%,65%,78%,70%,68%,65%,67%,87%,82%,72%,68%,68%,8%,3%,20%
IT部,,,15,6,40%,67%,100%,83%,83%,100%,83%,100%,100%,83%,83%,50%,67%,67%,83%,67%,100%,83%,50%,100%,83%,100%,100%,100%,83%,67%,0%,33%,0%
